molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4210842,COC(=O)CCC1=CC2=CC(=O)[C@@](C)(O)[C@@H](OC(=O)c3c(C)cc(O)cc3O)[C@@H]2CO1,200000.0
CHEMBL4215785,Cc1cc(O)cc(O)c1C(=O)O[C@H]1[C@@H]2COC(/C=C/C=O)=CC2=CC(=O)[C@@]1(C)O,22900.0
CHEMBL4214649,Cc1cc(O)cc(O)c1C(=O)O[C@H]1[C@@H]2COC(/C=C/[C@H](C)O)=CC2=CC(=O)[C@@]1(C)O,78600.0
CHEMBL4216316,CCCOc1ccc(-c2cc(OC)c(-c3ccc(O)cc3)c(O)c2OC)cc1,10000.0
CHEMBL4213889,CCCOc1ccc(-c2c(OC)cc(-c3ccc(O)cc3)c(OC)c2O)cc1,12300.0
CHEMBL4218824,CCCOc1c(OC)c(-c2ccc(O)cc2)cc(OC)c1-c1ccc(O)cc1,19300.0
CHEMBL4216906,CCCOc1ccc(-c2cc(OC)c(-c3ccc(O)cc3)c(OCCC)c2OC)cc1,8690.0
CHEMBL4209580,CCCOc1ccc(-c2c(OC)cc(-c3ccc(O)cc3)c(OC)c2OCCC)cc1,10700.0
CHEMBL4213017,COc1cc(-c2ccc(OCCBr)cc2)c(OC)c(O)c1-c1ccc(O)cc1,16100.0
CHEMBL4208107,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(OCCBr)cc1,18000.0
CHEMBL4217433,COc1cc(-c2ccc(O)cc2)c(OC)c(OCCBr)c1-c1ccc(O)cc1,18800.0
CHEMBL4204289,COc1cc(-c2ccc(OCCBr)cc2)c(OC)c(OCCBr)c1-c1ccc(O)cc1,6670.0
CHEMBL4205623,COc1cc(-c2ccc(OCCC(C)C)cc2)c(OC)c(O)c1-c1ccc(O)cc1,14300.0
CHEMBL4210494,COc1cc(-c2ccc(O)cc2)c(OC)c(OCCC(C)C)c1-c1ccc(O)cc1,8580.0
CHEMBL4217851,C=CCOc1ccc(-c2cc(OC)c(-c3ccc(O)cc3)c(O)c2OC)cc1,26500.0
CHEMBL4206131,C=CCOc1ccc(-c2c(OC)cc(-c3ccc(O)cc3)c(OC)c2O)cc1,32200.0
CHEMBL4213451,C=CCOc1c(OC)c(-c2ccc(O)cc2)cc(OC)c1-c1ccc(O)cc1,83800.0
CHEMBL4209056,C=CCOc1ccc(-c2cc(OC)c(-c3ccc(O)cc3)c(OCC=C)c2OC)cc1,8770.0
CHEMBL4204714,COc1cc(-c2ccc(OCC=C(C)C)cc2)c(OC)c(O)c1-c1ccc(O)cc1,20100.0
CHEMBL4209575,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(OCC=C(C)C)cc1,17500.0
CHEMBL4206708,COc1cc(-c2ccc(O)cc2)c(OC)c(OCC=C(C)C)c1-c1ccc(O)cc1,23400.0
CHEMBL4218969,COc1cc(-c2ccc(OCC=C(C)C)cc2)c(OC)c(OCC=C(C)C)c1-c1ccc(O)cc1,53100.0
CHEMBL4215507,C#CCOc1ccc(-c2cc(OC)c(-c3ccc(O)cc3)c(OCC#C)c2OC)cc1,20100.0
CHEMBL4211086,COc1cc(-c2ccc(OCc3ccccc3)cc2)c(OC)c(O)c1-c1ccc(O)cc1,12500.0
CHEMBL4206199,COc1cc(-c2ccc(O)cc2)c(OC)c(O)c1-c1ccc(OCc2ccccc2)cc1,12500.0
CHEMBL4207664,COc1cc(-c2ccc(O)cc2)c(OC)c(OCc2ccccc2)c1-c1ccc(O)cc1,19100.0
CHEMBL4202793,COc1cc(-c2ccc(OCc3ccc(-c4ccccc4)cc3)cc2)c(OC)c(O)c1-c1ccc(O)cc1,12200.0
